15,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Group,I3,I3,I3,I3,A1,A1,A1,A1,B20,B20,B20,B20,B11,B11,B11,B11,C8,C8,C8,C8,I14,I14,I14,I14,B9,B9,B9,B9,E9,E9,E9,E9,B18,B18,B18,B18,BF3,BF3,BF3,BF3,B6,B6,B6,B6,BF19,BF19,BF19,BF19,BF15,BF15,BF15,BF15,A3,A3,A3,A3,B266,B266,B266,B266
11.04,1,79,89,0,0,238,0,0,0,209,211,224,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,119,0,0,0,0,0,155,167,0,0,91,95,0,0,248,0,0,0,127,131,147,0
11.07,1,79,89,0,0,238,0,0,0,209,211,224,0,78,80,0,0,0,0,0,0,210,214,217,220,86,92,96,102,201,203,0,0,113,115,117,0,93,103,119,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,127,131,147,0
12.01,2,81,91,93,0,244,0,0,0,0,0,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
12.02,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
13.02,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,209,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
13.05,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,0,0,0,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
13.07,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,209,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
13.09,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,0,0,0,0,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
14.02,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,117,0,297,299,301,0,147,167,0,0,87,93,0,0,0,0,0,0,0,0,0,0
14.04,2,79,87,89,0,238,0,0,0,209,211,224,0,78,80,0,0,230,250,252,0,210,214,217,220,98,104,0,0,0,0,0,0,115,118,0,0,93,103,117,0,297,299,301,0,147,167,0,0,91,95,0,0,248,0,0,0,131,141,0,0
