,1.01,1.03,2.04,2.05,2.06,5.01,5.02,5.04,6.01,6.02,6.03,6.05,6.09,9.02,9.04,9.06,10.03,10.06,10.09,10.12,11.01,11.02,11.04,11.07,12.01,12.02,13.02,13.05,13.07,13.09,14.02,14.04,15.01,15.02,15.04,15.06,16.01,17.04,17.05,17.06,18.01,18.02,20.01,20.02,20.05,20.06,21.01,21.02,22.01,22.02,22.03,22.05,22.07,23.01,23.02
1.01,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.038,0.038,0.058,0.019,0.019,0.038,0.019,0.044,0.044,0.044,0.025,0.038,0,0.019,0,0.019,0,0.019,0.013,0.044,0.044,0.025,0.044,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
1.03,0,0,0.038,0.038,0.038,0.019,0,0.042,0,0.019,0.019,0,0,0,0.025,0.019,0,0,0.019,0,0,0,0,0,0.058,0.019,0.038,0.019,0.038,0.019,0.038,0.032,0.05,0.043,0.043,0.043,0.042,0.019,0.045,0.045,0.045,0.045,0.019,0.019,0.019,0.019,0,0.044,0,0.019,0,0.019,0.019,0.038,0.038
2.04,0.019,0.038,0,0.038,0,0.019,0.019,0.061,0.019,0.038,0,0.019,0.019,0.062,0.062,0.082,0.083,0.083,0.083,0.064,0.038,0.038,0.038,0.019,0.058,0.038,0.038,0.019,0.038,0.019,0.038,0.032,0.064,0.064,0.045,0.064,0.038,0.062,0.062,0.062,0.043,0.043,0.064,0.064,0.044,0.044,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.045,0.045
2.05,0.019,0.038,0.038,0,0.038,0.043,0.019,0.061,0.019,0,0.038,0.019,0.019,0.107,0.082,0.101,0.083,0.083,0.102,0.083,0.058,0.058,0.058,0.038,0.088,0.038,0.058,0.038,0.058,0.038,0.058,0.051,0.107,0.083,0.064,0.083,0.045,0.062,0.082,0.082,0.062,0.062,0.064,0.064,0.064,0.064,0.043,0.019,0.043,0.043,0.043,0.043,0.043,0.064,0.064
2.06,0.019,0.038,0,0.038,0,0.042,0.019,0.062,0.019,0.038,0,0.019,0.019,0.062,0.062,0.106,0.083,0.083,0.109,0.064,0.038,0.038,0.038,0.045,0.058,0.038,0.038,0.019,0.038,0.019,0.038,0.032,0.064,0.064,0.045,0.064,0.038,0.062,0.062,0.088,0.043,0.043,0.064,0.064,0.07,0.044,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.045,0.069
5.01,0.019,0.019,0.019,0.043,0.042,0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.05,0.043,0.043,0.044,0.044,0.067,0.044,0.019,0.019,0.019,0.042,0.043,0.024,0.024,0.024,0.024,0.024,0.043,0.043,0.064,0.05,0.05,0.05,0.026,0.038,0.038,0.061,0,0,0.019,0.019,0.042,0.019,0.038,0.019,0.038,0.038,0.038,0.038,0.038,0.019,0.019
5.02,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
5.04,0.042,0.042,0.061,0.061,0.062,0.019,0.042,0,0.042,0.042,0.061,0.042,0.042,0.043,0.085,0.082,0.086,0.086,0.105,0.086,0.061,0.061,0.061,0.045,0.085,0.042,0.061,0.042,0.061,0.042,0.061,0.019,0.064,0.087,0.067,0.087,0.061,0.085,0.085,0.098,0.066,0.066,0.067,0.067,0.07,0.067,0.08,0.061,0.08,0.08,0.08,0.038,0.08,0.067,0.067
6.01,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
6.02,0.019,0.019,0.038,0,0.038,0.019,0.019,0.042,0.019,0,0.038,0.019,0.019,0.062,0.062,0.082,0.064,0.064,0.083,0.064,0.038,0.038,0.038,0.019,0.048,0.019,0.038,0.019,0.038,0.019,0.038,0.032,0.083,0.064,0.045,0.064,0.019,0.062,0.062,0.062,0.024,0.024,0.044,0.044,0.044,0.044,0.038,0.019,0.038,0.038,0.038,0.038,0.038,0.045,0.045
6.03,0.019,0.019,0,0.038,0,0.019,0.019,0.061,0.019,0.038,0,0.019,0.019,0.043,0.043,0.062,0.064,0.064,0.064,0.044,0.019,0.019,0.019,0,0.038,0.019,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.062,0.043,0.043,0.024,0.024,0.044,0.044,0.025,0.025,0.019,0.038,0.019,0.038,0.019,0.019,0.019,0.026,0.026
6.05,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
6.09,0,0,0.019,0.019,0.019,0.019,0,0.042,0,0.019,0.019,0,0,0.043,0.043,0.062,0.044,0.044,0.064,0.044,0.019,0.019,0.019,0,0.038,0,0.019,0,0.019,0,0.019,0.013,0.045,0.045,0.026,0.045,0.038,0.043,0.043,0.043,0.024,0.024,0.025,0.025,0.025,0.025,0.019,0.038,0.019,0.019,0.019,0.019,0.019,0.026,0.026
9.02,0.038,0,0.062,0.107,0.062,0.05,0.043,0.043,0.043,0.062,0.043,0.043,0.043,0,0.025,0,0.019,0.019,0.019,0.019,0.024,0.024,0.024,0.024,0.083,0.064,0.064,0.045,0.064,0.064,0.083,0.083,0.126,0.12,0.12,0.12,0.067,0.082,0.107,0.107,0.064,0.088,0.083,0.083,0.083,0.083,0.038,0.063,0.019,0.038,0.019,0.038,0.038,0.089,0.089
