	1.01	1.03	2.04	2.05	2.06	5.01	5.02	5.04	6.01	6.02	6.03	6.05	6.09	9.02	9.04	9.06	10.03	10.06	10.09	10.12	11.01	11.02	11.04	11.07	12.01	12.02	13.02	13.05	13.07	13.09	14.02	14.04	15.01	15.02	15.04	15.06	16.01	17.04	17.05	17.06	18.01	18.02	20.01	20.02	20.05	20.06	21.01	21.02	22.01	22.02	22.03	22.05	22.07	23.01	23.02
1.01	0.00	0.00	4.42	4.42	4.42	10.79	10.79	10.79	10.79	10.79	10.79	10.79	10.79	10.86	10.86	10.86	16.00	16.00	16.00	16.00	15.90	15.90	15.90	15.90	27.16	27.16	17.66	17.66	17.66	17.66	24.08	24.08	212.45	212.45	212.45	212.45	216.69	213.71	213.71	213.71	214.08	214.08	110.31	110.31	110.31	110.31	102.35	102.35	100.42	100.42	100.42	100.42	100.42	30.97	30.97
1.03	0.00	0.00	4.42	4.42	4.42	10.79	10.79	10.79	10.79	10.79	10.79	10.79	10.79	10.86	10.86	10.86	16.00	16.00	16.00	16.00	15.90	15.90	15.90	15.90	27.16	27.16	17.66	17.66	17.66	17.66	24.08	24.08	212.45	212.45	212.45	212.45	216.69	213.71	213.71	213.71	214.08	214.08	110.31	110.31	110.31	110.31	102.35	102.35	100.42	100.42	100.42	100.42	100.42	30.97	30.97
2.04	4.42	4.42	0.00	0.00	0.00	8.80	8.80	8.80	8.80	8.80	8.80	8.80	8.80	10.77	10.77	10.77	17.45	17.45	17.45	17.45	17.33	17.33	17.33	17.33	26.17	26.17	16.46	16.46	16.46	16.46	20.11	20.11	216.29	216.29	216.29	216.29	220.45	217.41	217.41	217.41	217.78	217.78	112.55	112.55	112.55	112.55	104.56	104.56	102.61	102.61	102.61	102.61	102.61	33.95	33.95
2.05	4.42	4.42	0.00	0.00	0.00	8.80	8.80	8.80	8.80	8.80	8.80	8.80	8.80	10.77	10.77	10.77	17.45	17.45	17.45	17.45	17.33	17.33	17.33	17.33	26.17	26.17	16.46	16.46	16.46	16.46	20.11	20.11	216.29	216.29	216.29	216.29	220.45	217.41	217.41	217.41	217.78	217.78	112.55	112.55	112.55	112.55	104.56	104.56	102.61	102.61	102.61	102.61	102.61	33.95	33.95
2.06	4.42	4.42	0.00	0.00	0.00	8.80	8.80	8.80	8.80	8.80	8.80	8.80	8.80	10.77	10.77	10.77	17.45	17.45	17.45	17.45	17.33	17.33	17.33	17.33	26.17	26.17	16.46	16.46	16.46	16.46	20.11	20.11	216.29	216.29	216.29	216.29	220.45	217.41	217.41	217.41	217.78	217.78	112.55	112.55	112.55	112.55	104.56	104.56	102.61	102.61	102.61	102.61	102.61	33.95	33.95
5.01	10.79	10.79	8.80	8.80	8.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	4.66	4.66	12.21	12.21	12.21	12.21	12.06	12.06	12.06	12.06	34.45	34.45	24.81	24.81	24.81	24.81	23.87	23.87	214.17	214.17	214.17	214.17	218.08	214.80	214.80	214.80	215.17	215.17	106.63	106.63	106.63	106.63	98.60	98.60	96.63	96.63	96.63	96.63	96.63	30.48	30.48
5.02	10.79	10.79	8.80	8.80	8.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	4.66	4.66	12.21	12.21	12.21	12.21	12.06	12.06	12.06	12.06	34.45	34.45	24.81	24.81	24.81	24.81	23.87	23.87	214.17	214.17	214.17	214.17	218.08	214.80	214.80	214.80	215.17	215.17	106.63	106.63	106.63	106.63	98.60	98.60	96.63	96.63	96.63	96.63	96.63	30.48	30.48
5.04	10.79	10.79	8.80	8.80	8.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	4.66	4.66	12.21	12.21	12.21	12.21	12.06	12.06	12.06	12.06	34.45	34.45	24.81	24.81	24.81	24.81	23.87	23.87	214.17	214.17	214.17	214.17	218.08	214.80	214.80	214.80	215.17	215.17	106.63	106.63	106.63	106.63	98.60	98.60	96.63	96.63	96.63	96.63	96.63	30.48	30.48
6.01	10.79	10.79	8.80	8.80	8.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	4.66	4.66	12.21	12.21	12.21	12.21	12.06	12.06	12.06	12.06	34.45	34.45	24.81	24.81	24.81	24.81	23.87	23.87	214.17	214.17	214.17	214.17	218.08	214.80	214.80	214.80	215.17	215.17	106.63	106.63	106.63	106.63	98.60	98.60	96.63	96.63	96.63	96.63	96.63	30.48	30.48
